Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
crccheck,0,10,0.694356923,6.94356923,63,3.7,6497,crccheck-1.3.0,2,5.30E-05,0.00091,1,6.881189743
sqlparams,0,10,0.737918625,7.37918625,63,3.7,9823,sqlparams-5.1.0,1,6.20E-05,0.00048,1,7.026395417
tracerite,0,10,0.671641247,6.71641247,63,3.7,6222,tracerite-1.1.0,2,3.90E-05,0.0005,2,6.805470823
textstat,4,6,0.672710136,6.72710136,64,3.6,2725,textstat-0.5.6,3,3.90E-05,0.00046,3,5.44236712
yamale,3.92,6.08,0.674483868,6.74483868,64,3.6,5331,yamale-4.0.4,3,4.60E-05,0.00094,2,5.474946227
koalas,3.78,6.22,0.724440845,7.24440845,64,3.6,747,koalas-0.32.0,5,3.70E-05,0.00046,33,5.68813615
aioredis,3.78,6.22,0.567946064,5.67946064,64,3.6,715,aioredis-2.0.1,7,6.10E-05,0.00229,3,5.16648688
queuelib,3.62,6.38,0.775253766,7.75253766,64,3.6,1531,queuelib-1.6.2,4,4.70E-05,0.00194,1,5.910845887
frozen-flask,3.59,6.41,0.740603206,7.40603206,64,3.6,4889,frozen-flask-0.18,2,3.80E-05,0.00046,11,5.80534402
cfn-flip,3.51,6.49,0.622500159,6.22500159,64,3.6,7447,cfn-flip-1.3.0,4,5.20E-05,0.00048,4,5.438333863
premailer,3.3,6.7,0.724003106,7.24003106,64,3.6,1880,premailer-3.10.0,7,7.90E-05,0.00098,32,5.84667702
sparqlwrapper,3.27,6.73,0.670648523,6.70648523,64,3.6,738,sparqlwrapper-2.0.0,8,0.000118,0.00327,5,5.67882841
gmplot,3.22,6.78,0.618188904,6.18188904,64,3.6,1190,gmplot-1.4.1,1,3.50E-05,0,28,5.52062968
scs,3.05,6.95,0.679489814,6.79489814,64,3.6,3262,scs-3.2.3,5,4.90E-05,0.00113,9,5.781632713
honcho,3.05,6.95,0.605870009,6.05870009,64,3.6,5546,honcho-1.1.0,1,5.00E-05,0.00046,1,5.536233363
coveralls,2.97,7.03,0.589477288,5.89477288,64,3.6,8841,coveralls-3.3.1,4,4.20E-05,0.00046,31,5.508257627
python-gdcm,2.97,7.03,0.814159196,8.14159196,64,3.6,5198,python-gdcm-3.0.21,1,4.10E-05,0.00048,1,6.25719732
google-apitools,2.92,7.08,0.725617754,7.25617754,64,3.6,1669,google-apitools-0.5.32,10,6.40E-05,0.00231,13,5.978725847
py-mini-racer,2.89,7.11,0.777190232,7.77190232,64,3.6,1790,py-mini-racer-0.6.0,2,4.50E-05,0.00096,1,6.160634107
adal,2.73,7.27,0.614407138,6.14407138,64,3.6,6701,adal-1.2.7,8,6.00E-05,0.00187,34,5.671357127
marshmallow-oneofschema,2.68,7.32,0.902389054,9.02389054,64,3.6,10396,marshmallow-oneofschema-3.0.1,2,3.60E-05,0.00048,7,6.647963513
ffmpeg-python,2.65,7.35,0.773170421,7.73170421,64,3.6,589,ffmpeg-python-0.2.0,7,7.90E-05,0.00233,3,6.227234737
pytest-shutil,2.54,7.46,0.743041183,7.43041183,64,3.6,10127,pytest-shutil-1.7.0,11,3.90E-05,0.00091,20,6.16347061
django-parler,2.49,7.51,0.730620543,7.30620543,64,3.6,9540,django-parler-2.3,3,4.30E-05,0.00096,5,6.138735143
blessings,2.38,7.62,0.631397153,6.31397153,64,3.6,237,blessings-1.7,20,0.000504,0.00882,2,5.844657177
dash-html-components,2.35,7.65,0.746154305,7.46154305,64,3.6,694,dash-html-components-2.0.0,4,6.30E-05,0.00214,1,6.237181017
rlp,2.3,7.7,0.756683995,7.56683995,64,3.6,111,rlp-3.0.0,8,7.30E-05,0.00341,8,6.28894665
fusepy,2.3,7.7,0.764794131,7.64794131,64,3.6,1946,fusepy-3.0.1,5,7.40E-05,0.00231,1,6.315980437
jieba,2.3,7.7,0.749533644,7.49533644,64,3.6,5682,jieba-0.42.1,3,7.00E-05,0.00137,1,6.265112147
textblob,2.27,7.73,0.674532868,6.74532868,64,3.6,10224,textblob-0.17.1,3,7.20E-05,0.00091,6,6.02510956
influxdb,2.22,7.78,0.564366914,5.64366914,64,3.6,1397,influxdb-5.3.1,11,9.20E-05,0.00283,33,5.67455638
atomicwrites,2.14,7.86,0.768767604,7.68767604,64,3.6,1803,atomicwrites-1.4.1,5,0.000103,0.00256,1,6.38255868
