Package,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
djangorestframework-simplejwt,5.35,0.716534504,7.16534504,94,0.6,11507,djangorestframework-simplejwt-4.6.0,4,4.20E-05,0.00048,10,4.37178168
sanic,5.35,0.640311483,6.40311483,97,0.3,3694,sanic-20.9.0,8,5.60E-05,0.00048,14,4.017704943
arviz,5.32,0.556700495,5.56700495,97,0.3,7199,arviz-0.15.1,11,3.90E-05,0.00046,122,3.72900165
typing,5.3,0.6436541,6.436541,84,1.6,230,typing-3.7.4.3,27,0.000367,0.0125,1,4.445513667
dask,5.3,0.599804981,5.99804981,91,0.9,565,dask-2023.4.0,50,0.000183,0.01551,96,4.066016603
authlib,5.3,0.715091095,7.15091095,91,0.9,1111,authlib-1.2.0,2,4.30E-05,0.00048,5,4.45030365
locust,5.3,0.517375745,5.17375745,88,1.2,1579,locust-2.15.1,14,3.60E-05,0.00046,65,3.891252483
plexapi,5.3,0.732834531,7.32834531,85,1.5,11220,plexapi-3.1.0,4,5.00E-05,0.00046,30,4.709448437
idna,5.27,0.638660348,6.38660348,78,2.2,34,idna-3.4,41,0.003475,0.077516,1,4.618867827
gunicorn,5.27,0.643029065,6.43029065,94,0.6,213,gunicorn-20.1.0,26,0.000183,0.01172,2,4.100096883
responses,5.27,0.572888303,5.72888303,97,0.3,1916,responses-0.18.0,4,4.20E-05,0.00111,28,3.766294343
tablib,5.27,0.635814048,6.35814048,94,0.6,6935,tablib-3.4.0,1,3.90E-05,0.00048,1,4.076046827
tensorboard,5.24,0.568396287,5.68396287,91,0.9,683,tensorboard-2.12.2,22,6.60E-05,0.00382,61,3.941320957
jupyterlab,5.24,0.566267465,5.66267465,97,0.3,2254,jupyterlab-3.6.3,22,0.000126,0.00366,150,3.734224883
tensorboard-data-server,5.24,0.572926092,5.72926092,91,0.9,688,tensorboard-data-server-0.7.0,1,3.80E-05,0.00062,1,3.956420307
streamlit,5.24,0.594815486,5.94815486,97,0.3,2401,streamlit-1.19.0,32,5.40E-05,0.00183,101,3.829384953
aiobotocore,5.22,0.727407448,7.27407448,97,0.3,713,aiobotocore-2.5.0,9,5.00E-05,0.00146,47,4.264691493
omegaconf,5.22,0.615846912,6.15846912,91,0.9,351,omegaconf-2.3.0,5,0.000118,0.0017,3,4.09282304
google-auth-oauthlib,5.19,0.611642131,6.11642131,94,0.6,610,google-auth-oauthlib-1.0.0,44,0.000382,0.01956,46,3.968807103
etils,5.19,0.662135495,6.62135495,87,1.3,3663,etils-1.2.0,12,6.20E-05,0.00304,6,4.37045165
opentelemetry-propagator-aws-xray,5.19,0.678719643,6.78719643,79,2.1,5277,opentelemetry-propagator-aws-xray-1.0.1,2,4.50E-05,0.00048,4,4.69239881
awscli,5.16,0.248354428,2.48354428,96,0.4,968,awscli-1.27.115,7,5.50E-05,0.00049,32,2.681181427
filelock,5.16,0.60816995,6.0816995,91,0.9,299,filelock-3.11.0,38,0.000473,0.02306,1,4.047233167
soupsieve,5.16,0.703829253,7.03829253,79,2.1,177,soupsieve-2.4,10,0.001315,0.01075,1,4.76609751
proto-plus,5.16,0.671641247,6.71641247,94,0.6,629,proto-plus-1.22.2,164,0.001502,0.0753,3,4.158804157
xgboost,5.16,0.54611256,5.4611256,91,0.9,1596,xgboost-1.7.5,10,6.20E-05,0.00366,9,3.8403752
twine,5.16,0.627062931,6.27062931,94,0.6,185,twine-4.0.2,26,0.000113,0.00702,62,4.01020977
bidict,5.16,0.671641247,6.71641247,83,1.7,1251,bidict-0.22.1,8,8.50E-05,0.00384,1,4.525470823
pymemcache,5.16,0.713679766,7.13679766,86,1.4,2881,pymemcache-4.0.0,2,4.60E-05,0.00094,1,4.56559922
pluggy,5.14,0.606995648,6.06995648,91,0.9,1016,pluggy-1.0.0,19,0.000344,0.01229,1,4.03665216
importlib-resources,5.14,0.75712155,7.5712155,91,0.9,1090,importlib-resources-5.12.0,29,0.000321,0.01451,1,4.537071833
scikit-learn,5.14,0.356249168,3.56249168,94,0.6,261,scikit-learn-1.1.3,15,7.40E-05,0.00443,11,3.10083056
uvicorn,5.14,0.608885295,6.08885295,91,0.9,338,uvicorn-0.13.4,10,5.00E-05,0.00091,12,4.042950983
starlette,5.14,0.671641247,6.71641247,97,0.3,337,starlette-0.14.2,4,7.20E-05,0.00185,1,4.05213749
lightgbm,5.14,0.507142998,5.07142998,100,0,260,lightgbm-3.3.5,15,5.90E-05,0.00375,16,3.403809993
inflect,5.14,0.755011167,7.55011167,91,0.9,1645,inflect-6.0.4,11,0.000106,0.00475,11,4.530037223
flask-login,5.14,0.698140858,6.98140858,86,1.4,2796,flask-login-0.6.2,9,5.50E-05,0.00331,11,4.507136193
singledispatch,5.14,0.699763132,6.99763132,78,2.2,1206,singledispatch-4.0.0,8,9.40E-05,0.00383,1,4.77921044
path,5.14,0.898719747,8.98719747,77,2.3,4540,path-16.6.0,1,0.00015,0.00068,1,5.47573249
mutagen,5.14,0.743698562,7.43698562,88,1.2,416,mutagen-1.46.0,7,0.000137,0.00338,1,4.59232854
python-arango,5.14,0.618810028,6.18810028,88,1.2,3119,python-arango-6.1.0,5,3.90E-05,0.00046,39,4.176033427
hubspot-api-client,5.14,0.763423167,7.63423167,85,1.5,12798,hubspot-api-client-7.5.0,4,3.50E-05,0,16,4.758077223
path-py,5.14,0.891314342,8.91314342,62,3.8,4539,path-py-12.5.0,11,0.000135,0.00477,2,5.951047807
photutils,5.14,0.717416842,7.17416842,87,1.3,8573,photutils-1.7.0,4,4.70E-05,0.00094,8,4.53805614
