,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
6829,6829,json-merge-patch-0.2,1,4.10E-05,0.00046,1,0,2,4.5,0.820981068,H,T,T,0.02
6830,6830,opentelemetry-sdk-0.5b0,2,4.10E-05,0.00046,2,1,2,4.5,0.671641247,H,T,T,0.02
6842,6842,graphene-django-2.2.0,7,5.00E-05,0.00046,13,3.700439718,2,4.5,0.676930227,H,T,T,0.02
6843,6843,sentry-sdk-0.5.2,3,5.00E-05,0.00046,13,3.700439718,2,4.5,0.597955601,H,T,T,0.02
6844,6844,google-cloud-common-1.2.0,4,4.20E-05,0.00046,51,5.672425342,2,4.5,0.798929758,H,T,T,0.02
6847,6847,django-cacheback-3.0.0,2,4.20E-05,0.00046,5,2.321928095,2,4.5,0.752352792,H,T,T,0.02
6854,6854,gruut-ipa-0.13.0,1,3.80E-05,0.00046,1,0,2,4.5,0.83021712,H,T,T,0.02
6855,6855,gruut-lang-en-2.0.0,1,3.80E-05,0.00046,1,0,2,4.5,0.815338409,H,T,T,0.02
6856,6856,jsonlines-1.2.0,2,3.80E-05,0.00046,2,1,2,4.5,0.651731411,H,T,T,0.02
6871,6871,confluent-kafka-2.0.2,1,5.00E-05,0.00046,1,0,2,4.5,0.708883857,H,T,T,0.02
6874,6874,gitpython-1.0.1,2,6.50E-05,0.00046,3,1.584962501,2,4.5,0.671641247,H,T,T,0.02
6878,6878,python-consul-0.7.2,3,6.50E-05,0.00046,29,4.857980995,2,4.5,0.794227323,H,T,T,0.02
6880,6880,hgdb-0.1.3,2,4.50E-05,0.00046,2,1,2,4.5,0.698699865,H,T,T,0.02
6883,6883,locust-2.10.1,14,4.50E-05,0.00046,58,5.857980995,2,4.5,0.517375745,H,T,T,0.02
6884,6884,pyutilb-1.0.5,8,4.50E-05,0.00046,37,5.209453366,2,4.5,0.820804769,H,T,T,0.02
6890,6890,parsel-1.8.1,6,5.00E-05,0.00046,6,2.584962501,2,4.5,0.734073436,H,T,T,0.02
6896,6896,adafruit-circuitpython-sht4x-1.0.15,3,4.50E-05,0.00046,13,3.700439718,2,4.5,0.650337475,H,T,T,0.02
6899,6899,enaml-0.16.0,8,4.00E-05,0.00046,12,3.584962501,2,4.5,0.589282268,H,T,T,0.02
6902,6902,grokcore-component-4.1,7,3.90E-05,0.00046,11,3.459431619,2,4.5,0.624028267,H,T,T,0.02
6914,6914,calendar-base-0.0.1,1,5.00E-05,0.00046,1,0,2,4.5,0.83180593,H,T,T,0.02
6919,6919,gyver-attrs-0.4.0,4,4.10E-05,0.00046,4,2,2,4.5,0.671641247,H,T,T,0.02
6922,6922,py-bcrypt-0.4,1,5.00E-05,0.00046,1,0,2,4.5,0.671641247,H,T,T,0.02
6926,6926,pyttsx-1.1,1,6.50E-05,0.00046,1,0,2,4.5,0.804671793,H,T,T,0.02
6937,6937,hiclass-4.3.3,4,4.10E-05,0.00046,41,5.357552005,2,4.5,0.682824665,H,T,T,0.02
6946,6946,ideas-0.0.22,2,6.50E-05,0.00046,2,1,2,4.5,0.682234156,H,T,T,0.02
6955,6955,groclient-1.253.0,6,4.20E-05,0.00046,41,5.357552005,2,4.5,0.609416132,H,T,T,0.02
6958,6958,gym-0.19.0,3,4.50E-05,0.00046,3,1.584962501,2,4.5,0.678585024,H,T,T,0.02
6959,6959,sty-1.0.0,1,4.50E-05,0.00046,1,0,2,4.5,0.746789376,H,T,T,0.02
6963,6963,pandera-0.9.0,9,4.50E-05,0.00046,32,5,2,4.5,0.714701295,H,T,T,0.02
6966,6966,hatemile-2.0.1,8,6.50E-05,0.00046,33,5.044394119,2,4.5,0.69512678,H,T,T,0.02
6970,6970,django-cors-headers-3.13.0,2,3.90E-05,0.00046,4,2,2,4.5,0.723475437,H,T,T,0.02
6971,6971,polyaxon-1.20.0,20,3.90E-05,0.00046,96,6.584962501,2,4.5,0.817838984,H,T,T,0.02
6979,6979,yacman-0.9.0,6,4.50E-05,0.00046,23,4.523561956,2,4.5,0.730937349,H,T,T,0.02
6983,6983,pymongo-3.12.3,1,3.90E-05,0.00046,1,0,2,4.5,0.131913145,L,T,T,0.02
6984,6984,python-dotenv-0.19.2,1,3.90E-05,0.00046,1,0,2,4.5,0.580229603,H,T,T,0.02
6989,6989,parguments-0.3.2,2,4.20E-05,0.00046,2,1,2,4.5,0.694727645,H,T,T,0.02
7004,7004,jnrbase-1.3.0,3,4.00E-05,0.00046,3,1.584962501,2,4.5,0.819511424,H,T,T,0.02
7008,7008,grammpy-2.0.0,3,6.50E-05,0.00046,4,2,2,4.5,0.694755257,H,T,T,0.02
7016,7016,biglibrary-2.0.0,1,4.20E-05,0.00046,1,0,2,4.5,0.789776143,H,T,T,0.02
7017,7017,hexor-0.0.13,1,4.20E-05,0.00046,1,0,2,4.5,0.804850513,H,T,T,0.02
7019,7019,enlighten-1.11.2,3,4.20E-05,0.00046,5,2.321928095,2,4.5,0.666765782,H,T,T,0.02
7022,7022,async-asgi-testclient-1.4.6,3,3.90E-05,0.00046,29,4.857980995,2,4.5,0.777657882,H,T,T,0.02
7023,7023,authlib-0.15.4,2,3.90E-05,0.00046,5,2.321928095,2,4.5,0.715091095,H,T,T,0.02
7024,7024,azure-identity-1.6.0,6,3.90E-05,0.00046,37,5.209453366,2,4.5,0.411563994,L,T,T,0.02
7026,7026,azure-keyvault-4.1.0,4,3.90E-05,0.00046,47,5.554588852,2,4.5,0.412988704,L,T,T,0.02
7027,7027,fastapi-0.68.1,3,3.90E-05,0.00046,12,3.584962501,2,4.5,0.509274366,H,T,T,0.02
7035,7035,google-analytics-data-0.12.1,4,3.60E-05,0.00046,41,5.357552005,2,4.5,0.771825821,H,T,T,0.02
7041,7041,monkeydict-1.0,1,4.20E-05,0.00046,1,0,2,4.5,0.654142373,H,T,T,0.02
