Label,Pageranks
nvidia-cuda-cupti-cu11-11.7.101,0.000096
nvidia-curand-cu11-10.2.10.91,0.000096
nvidia-cusparse-cu11-11.7.4.91,0.000096
nvidia-nvtx-cu11-11.7.91,0.000096
nvidia-cusolver-cu11-11.4.0.1,0.000096
nvidia-cufft-cu11-10.9.0.58,0.000096
nvidia-nccl-cu11-2.14.3,0.000096
nonebot2-2.0.0rc4,0.000126
boto3-stubs-1.21.38,0.000057
heaobject-1.0.0a52,0.000057
aiohttp-remotes-1.2.0,0.000057
jsonmerge-1.8.0,0.000057
mongoquery-1.3.6,0.000057
motor-2.5.1,0.000057
accept-types-0.4.1,0.000057
regex-2022.4.24,0.000057
zope-browser-3.0,0.000057
rlp-3.0.0,0.000073
asdf-2.15.0,0.000135
lark-1.1.5,0.000167
monotonic-1.6,0.000078
fastcore-1.5.29,0.0001
semver-3.0.0,0.000073
eth-keys-0.4.0,0.00008
flask-1.0.2,0.000125
rdflib-5.0.0,0.000117
mutagen-1.46.0,0.000137
ground-8.3.0,0.000093
rfc3986-validator-0.1.1,0.000095
semver-2.13.0,0.000095
brotlipy-0.7.0,0.000071
altair-4.2.2,0.000065
argh-0.28.1,0.000155
pysha3-1.0.2,0.000098
cfgv-3.3.1,0.000068
plumbum-1.8.1,0.000165
onnx-1.13.1,0.000094
typed-ast-1.5.4,0.000079
requests-2.23.0,0.000138
gpustat-1.1,0.000121
google-auth-1.28.1,0.000111
portalocker-2.7.0,0.000111
fqdn-1.5.1,0.000093
jsonref-1.1.0,0.000064
opencv-python-headless-4.7.0.72,0.000098
shortuuid-1.0.11,0.000074
python-daemon-3.0.1,0.00012
reportlab-3.6.12,0.000074
colourmap-1.1.10,0.000063
kubernetes-26.1.0,0.000059
flask-login-0.6.2,0.000055
pyqt5-qt5-5.15.2,0.000214
python-xlib-0.33,0.000508
ldap3-2.9.1,0.000108
eventlet-0.33.3,0.000074
click-8.0.4,0.0001
autograd-1.5,0.000079
marshmallow-2.21.0,0.000076
google-cloud-bigquery-3.9.0,0.000075
emcee-3.1.4,0.000065
google-api-core-2.10.2,0.000128
hopeit-engine-0.17.0,0.000201
colorama-0.4.4,0.000141
